Building ID,Building FRAME weight (lbf),Total building weight (lbf),"average moment of inertia for internal columns of building (IINT), in^4","maximum moment of inertia for internal columns (IINTMAX), in^4","minimum moment of inertia for all internal columns (IINTMIN), in^4","average moment of inertia for all beams (IB), in^4","maximum moment of inertia for all beams (IBMAX), in^4","minimum moment of inertia for all beams (IBMIN), in^4","average moment of inertia for all external columns (IEXT), in^4","maximum moment of inertia for all external columns (IEXTMAX), in^4","minimum moment of inertia for all external columns (IEXTMIN),in^4","total building height (TBH), ft","bay width (BW), ft",number of stories (NS),Design SCWB ratio,TimePeriod,Avg_DblrPlte_Thickness,FloorArea (sqft),Avg_DgnStoryDrift,Avg_BeamFlexuralDCRatio,Avg_BeamShearDCRatio,Avg_ColumnAxialDCRatio,Avg_ColumnFlexuralDCRatio,Avg_ColumnBeamRatio (AVG_SCWB),First Story Height (ft),Total building height/first story height
2,303116,1403116,4900,4900,4900,5770,5770,5770,3840,3840,3840,13,20,1,0,0.509306032,0,10000,0.00314136,0.645040895,0.148903056,0.056523017,0.436437827,0,13,1
4,136176,936176,1530,1530,1530,1550,1550,1550,1530,1530,1530,13,20,1,0,0.491043217,0.5,10000,0.00292093,0.511468202,0.097833862,0.03082976,0.371603431,0,13,1
9,352062,852062,4330,4330,4330,4760,4760,4760,3400,3400,3400,19.5,20,1,0,0.644255011,0,10000,0.00319853,0.484578536,0.105551358,0.0412004,0.30198319,0,19.5,1
13,263736,1063736,3010,3010,3010,3620,3620,3620,2140,2140,2140,19.5,20,1,0,0.637042948,0.75,10000,0.00311784,0.384901312,0.09185536,0.02656014,0.299444036,0,19.5,1
19,698200,1498200,9430,9430,9430,12100,12100,12100,7190,7190,7190,26,20,1,0,0.825806399,0,10000,0.00314458,0.421599519,0.108614057,0.040560366,0.256013759,0,26,1
31,173376,1973376,1530,1530,1530,1550,1550,1550,1530,1530,1530,13,30,1,0,0.518925878,0.5,22500,0.00328036,0.793877343,0.138033134,0.041039274,0.416812813,0,13,1
41,429462,2904462,4330,4330,4330,4760,4760,4760,3400,3400,3400,19.5,30,1,0,0.644900615,0.75,22500,0.00319935,0.573651592,0.12581888,0.028018771,0.312587648,0,19.5,1
45,675456,1800456,6600,6600,6600,7020,7020,7020,4900,4900,4900,26,30,1,0,0.833845698,0,22500,0.00322593,0.4029234,0.087326056,0.025020313,0.243100728,0,26,1
50,675456,3150456,6600,6600,6600,7020,7020,7020,4900,4900,4900,26,30,1,0,0.788695208,0,22500,0.00286319,0.435891115,0.108314664,0.021564087,0.226404575,0,26,1
51,260360,1385360,1710,1710,1710,1600,1600,1600,1530,1530,1530,26,30,1,0,0.823123849,0.833333333,22500,0.00316219,0.512912053,0.108853411,0.030383206,0.216442901,0,26,1
62,306576,4706576,1530,1530,1530,3620,3620,3620,1530,1530,1530,13,40,1,0,0.454023645,1.25,40000,0.00250072,0.917515352,0.202533548,0.083919932,0.412052289,0,13,1
70,342366,3542366,2400,2400,2400,2700,2700,2700,1710,1710,1710,19.5,40,1,0,0.610099945,1.25,40000,0.00287707,0.911069916,0.187515133,0.050525526,0.302395799,0,19.5,1
73,1068480,4268480,10800,10800,10800,15000,15000,15000,8210,8210,8210,26,40,1,0,0.818705025,0,40000,0.0030951,0.430525408,0.097266268,0.025241437,0.266542804,0,26,1
99,1497996,6097996,4852,6600,2400,4880.6,7020,843,3800,4900,2400,65,20,5,1.538461538,1.169933452,1.2,10000,0.002233142,0.445998795,0.106368505,0.047773627,0.173883978,1.596551611,13,5
102,1902216,6977216,6112,8210,2140,5998,8910,1550,4560,6000,2140,65,20,5,1.538461538,1.187103288,1.425,10000,0.00234825,0.46767956,0.10973792,0.052833587,0.18367456,1.6018736,13,5
117,1063920,4463920,2906,3840,1530,2856.6,4020,843,2270,3010,1530,65,20,5,1.538461538,1.040763263,1.3,10000,0.001734593,0.333865199,0.078297267,0.036115869,0.135170457,1.502892291,13,5
138,1580974,4255974,4242,6000,1530,4042,5310,1550,3242,4330,1530,71.5,20,5,1.538461538,1.346355362,1.35,10000,0.002220814,0.376810876,0.08092244,0.044323103,0.157037305,1.601274749,19.5,3.666666667
174,1095874,4970874,2802,3840,1530,2856.6,4020,843,2064.2,3010,881,71.5,20,5,1.538461538,1.465211172,1.25,10000,0.002675322,0.455518121,0.100660462,0.047904452,0.195031422,1.430346366,19.5,3.666666667
210,2642820,7717820,9128,14300,3840,10278,17900,1550,8448,14300,3840,78,20,5,1.538461538,1.335016794,0.675,10000,0.001830458,0.376463371,0.100744839,0.035042408,0.142653075,1.478364046,26,3
225,1545016,4945016,4058,6600,1650,4044.6,7020,843,3122,4900,1530,78,20,5,1.538461538,1.307636094,1.333333333,10000,0.001647339,0.273263204,0.071134979,0.026636935,0.117164891,1.379104787,26,3
237,1790884,6865884,5024,8210,1900,5020.6,8910,843,3702,6000,1710,78,20,5,1.538461538,1.481220627,1.483333333,10000,0.002274954,0.398314705,0.098558913,0.036823178,0.164817589,1.336596636,26,3
243,1364248,6314248,3102,4330,1530,3152.6,4760,843,2296.2,3400,881,65,30,5,1.538461538,1.168163682,0.975,22500,0.002333856,0.450236811,0.083448879,0.048925681,0.160195706,1.671417234,13,5
255,2442928,11161678,6026,8210,1710,6008,8910,1600,4438,6000,1530,65,30,5,1.538461538,1.20759365,1.275,22500,0.002444658,0.483836941,0.099303626,0.050320038,0.175702138,1.674694719,13,5
276,1446864,8534364,3330,4900,1530,3698,5770,1550,2602,3840,1530,65,30,5,1.538461538,1.314554751,0.916666667,22500,0.002480688,0.53329157,0.101058306,0.0643589,0.176779722,1.645414026,13,5
297,1443002,6393002,3102,4330,1530,3152.6,4760,843,2426,3400,1530,71.5,30,5,1.538461538,1.385466674,0.8,22500,0.002526818,0.446420718,0.083775487,0.048007333,0.158768541,1.76328784,19.5,3.666666667
315,2333256,12683256,6140,8210,3400,6404.6,8910,843,4616,6000,3400,71.5,30,5,1.538461538,1.404328684,0.4,22500,0.002441538,0.475928485,0.105365597,0.04724912,0.171479753,1.673158445,19.5,3.666666667
