Building ID,Functional_DBE,Functional_MCE,EAL,NormEAL,RCR_DBE,RCR_MCE
2,71,76,50845.98736,0.020338395,0.609773063,0.648274715
4,47,55,47130.326,0.01885213,0.277228045,0.324495619
9,46,62,67849.18447,0.027139674,0.124428679,0.14823152
13,33,50,65615.73141,0.026246293,0.137791902,0.165658555
19,43,51,87129.86666,0.034851947,0.347657993,0.389938232
31,68,71,103472.9554,0.018395192,0.126270652,0.140804716
41,52,64,134519.2558,0.023914534,0.10778406,0.127095616
45,52,58,181736.2728,0.032308671,0.303910563,0.339745786
50,44,52,166009.3757,0.029512778,0.279661414,0.315207939
51,56,60,176453.9025,0.031369583,0.369864568,0.410809182
62,23,31,131469.9473,0.013146995,0.05788681,0.070976496
70,35,47,202471.5518,0.020247155,0.079202883,0.086608073
73,52,58,293203.6521,0.029320365,0.25454739,0.286016545
99,121,136,629266.4999,0.05034132,0.170678935,0.269065704
102,120,135,699438.4122,0.055955073,0.162397586,0.245275799
117,120,135,501808.028,0.040144642,0.109154929,0.170682246
138,105,123,633846.0951,0.050707688,0.131701187,0.230348773
174,113,133,746910.053,0.059752804,0.291871395,0.509913206
210,99,117,554768.0046,0.04438144,0.106803605,0.199668174
225,117,136,542170.1326,0.043373611,0.187820666,0.355881544
237,108,131,647258.7155,0.051780697,0.23491673,0.43222689
243,152,170,1476361.398,0.05249285,0.164602824,0.27511252
255,147,163,1700161.373,0.060450182,0.219760361,0.32980149
276,163,184,1690817.031,0.060117939,0.259776431,0.427596162
297,132,149,1584305.592,0.056330865,0.166241371,0.297259929
315,125,144,1554165.562,0.05525922,0.221929116,0.396140646
324,142,160,1473101.268,0.052376934,0.210802032,0.383511468
345,135,155,1337517.806,0.047556189,0.180108361,0.339604069
384,109,136,1494894.833,0.053151816,0.18564337,0.338554272
414,188,205,2813831.855,0.056276637,0.187055037,0.283736965
417,190,212,3143069.669,0.062861393,0.355642827,0.50328992
444,179,207,2546166.399,0.050923328,0.160761293,0.255512126
447,187,213,2574455.157,0.051489103,0.173895066,0.286055523
459,150,173,2919193.052,0.058383861,0.135321184,0.247420392
462,144,166,2707349.526,0.054146991,0.150439301,0.281896103
468,153.5,177,2601914.19,0.052038284,0.157436354,0.296564337
489,153.1666667,175,2621456.752,0.052429135,0.111324566,0.196120836
510,140,162,2998985.844,0.059979717,0.136876338,0.254675486
